Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds, PrepMillisec,Diversity, UnweightedDiv, MinDiv, MaxDiv, MinUnw, MaxUnw
wikivote.txt.gz,KBest,1744,6340,10,7115,103689,32,65,35,4.0,16,16,282.0,282.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3175,2925,10,7115,103689,31,70,41,3.0,18,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3175,2925,10,7115,103689,31,70,41,3.0,16,16,234.0,234.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3977,7512,10,7115,103689,84,211,167,4.0,28,16,358.0,358.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,3977,7512,10,7115,103689,84,211,167,4.0,16,16,296.0,296.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,7003,802,10,7115,103689,40,84,46,5.0,18,16,296.0,296.0,0.0,8.0,0.0,8.0
wikivote.txt.gz,KBest,7003,802,10,7115,103689,40,84,46,5.0,16,16,272.0,272.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,5289,1243,10,7115,103689,40,80,45,4.0,19,16,346.0,346.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,5289,1243,10,7115,103689,40,80,45,4.0,16,16,308.0,308.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,2772,3643,10,7115,103689,34,67,35,4.0,20,18,268.0,268.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,2772,3643,10,7115,103689,34,67,35,4.0,18,18,238.0,238.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3802,935,10,7115,103689,43,90,49,4.0,19,15,344.0,344.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,3802,935,10,7115,103689,43,90,49,4.0,15,15,332.0,332.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1846,2689,10,7115,103689,48,116,70,5.0,22,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1846,2689,10,7115,103689,48,116,70,5.0,18,18,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2141,5835,10,7115,103689,32,67,37,4.0,18,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2141,5835,10,7115,103689,32,67,37,4.0,16,16,250.0,250.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1980,216,10,7115,103689,26,45,36,4.0,15,14,350.0,350.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,1980,216,10,7115,103689,26,45,36,4.0,14,14,302.0,302.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1749,5714,10,7115,103689,68,203,137,3.0,25,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1749,5714,10,7115,103689,68,203,137,3.0,17,17,238.0,238.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4273,2674,10,7115,103689,27,67,42,3.0,18,16,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4273,2674,10,7115,103689,27,67,42,3.0,16,16,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6771,1326,10,7115,103689,39,85,86,5.0,17,15,352.0,352.0,6.0,8.0,6.0,8.0
