Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds,Diversity
wikivote.txt.gz,KBest,6771,1326,10,7115,103689,39,85,86,5.0,16,314.0
wikivote.txt.gz,Diverse,7391,3258,10,7115,103689,33,66,35,3.0,21,264.0
wikivote.txt.gz,KBest,7391,3258,10,7115,103689,33,66,35,3.0,20,234.0
wikivote.txt.gz,Diverse,2077,5106,10,7115,103689,47,98,53,4.0,21,270.0
wikivote.txt.gz,KBest,2077,5106,10,7115,103689,47,98,53,4.0,17,246.0
wikivote.txt.gz,Diverse,6320,896,10,7115,103689,41,83,44,3.0,20,266.0
wikivote.txt.gz,KBest,6320,896,10,7115,103689,41,83,44,3.0,17,258.0
wikivote.txt.gz,Diverse,1894,4653,10,7115,103689,80,186,109,5.0,28,314.0
wikivote.txt.gz,KBest,1894,4653,10,7115,103689,80,186,109,5.0,19,292.0
wikivote.txt.gz,Diverse,3073,5321,10,7115,103689,43,104,63,3.0,20,270.0
wikivote.txt.gz,KBest,3073,5321,10,7115,103689,43,104,63,3.0,17,236.0
wikivote.txt.gz,Diverse,5765,3772,10,7115,103689,42,105,65,4.0,20,270.0
wikivote.txt.gz,KBest,5765,3772,10,7115,103689,42,105,65,4.0,16,240.0
wikivote.txt.gz,Diverse,4495,4798,10,7115,103689,33,70,39,4.0,20,270.0
wikivote.txt.gz,KBest,4495,4798,10,7115,103689,33,70,39,4.0,18,250.0
wikivote.txt.gz,Diverse,3006,978,10,7115,103689,42,96,56,3.0,21,270.0
wikivote.txt.gz,KBest,3006,978,10,7115,103689,42,96,56,3.0,18,244.0
wikivote.txt.gz,Diverse,6007,1260,10,7115,103689,86,192,160,5.0,26,426.0
wikivote.txt.gz,KBest,6007,1260,10,7115,103689,86,192,160,5.0,16,386.0
wikivote.txt.gz,Diverse,6071,152,10,7115,103689,51,98,49,4.0,19,254.0
wikivote.txt.gz,KBest,6071,152,10,7115,103689,51,98,49,4.0,15,220.0
wikivote.txt.gz,Diverse,3047,8277,10,7115,103689,34,64,37,4.0,19,338.0
wikivote.txt.gz,KBest,3047,8277,10,7115,103689,34,64,37,4.0,17,292.0
wikivote.txt.gz,Diverse,5915,5155,10,7115,103689,36,74,40,3.0,18,270.0
wikivote.txt.gz,KBest,5915,5155,10,7115,103689,36,74,40,3.0,16,258.0
wikivote.txt.gz,Diverse,5615,2818,10,7115,103689,34,68,36,4.0,19,302.0
wikivote.txt.gz,KBest,5615,2818,10,7115,103689,34,68,36,4.0,17,276.0
wikivote.txt.gz,Diverse,3615,7726,10,7115,103689,76,186,112,3.0,26,270.0
wikivote.txt.gz,KBest,3615,7726,10,7115,103689,76,186,112,3.0,17,252.0
wikivote.txt.gz,Diverse,1535,2977,10,7115,103689,48,131,85,4.0,24,270.0
wikivote.txt.gz,KBest,1535,2977,10,7115,103689,48,131,85,4.0,19,248.0
wikivote.txt.gz,Diverse,462,4323,10,7115,103689,50,109,62,4.0,24,316.0
wikivote.txt.gz,KBest,462,4323,10,7115,103689,50,109,62,4.0,20,286.0
wikivote.txt.gz,Diverse,4395,673,10,7115,103689,23,40,31,5.0,17,342.0
wikivote.txt.gz,KBest,4395,673,10,7115,103689,23,40,31,5.0,16,286.0
wikivote.txt.gz,Diverse,573,4689,10,7115,103689,37,79,44,5.0,20,270.0
wikivote.txt.gz,KBest,573,4689,10,7115,103689,37,79,44,5.0,17,254.0
wikivote.txt.gz,Diverse,7728,2160,10,7115,103689,34,64,32,5.0,21,268.0
wikivote.txt.gz,KBest,7728,2160,10,7115,103689,34,64,32,5.0,20,234.0
wikivote.txt.gz,Diverse,2129,1473,10,7115,103689,55,138,85,3.0,21,270.0
wikivote.txt.gz,KBest,2129,1473,10,7115,103689,55,138,85,3.0,16,244.0
wikivote.txt.gz,Diverse,1967,705,10,7115,103689,41,83,53,4.0,22,358.0
wikivote.txt.gz,KBest,1967,705,10,7115,103689,41,83,53,4.0,20,314.0
wikivote.txt.gz,Diverse,1615,4466,10,7115,103689,37,75,40,3.0,21,268.0
wikivote.txt.gz,KBest,1615,4466,10,7115,103689,37,75,40,3.0,19,248.0
wikivote.txt.gz,Diverse,38,5596,10,7115,103689,110,297,243,4.0,38,360.0
wikivote.txt.gz,KBest,38,5596,10,7115,103689,110,297,243,4.0,20,306.0
wikivote.txt.gz,Diverse,3667,7434,10,7115,103689,33,75,49,4.0,19,326.0
wikivote.txt.gz,KBest,3667,7434,10,7115,103689,33,75,49,4.0,17,290.0
wikivote.txt.gz,Diverse,6656,1542,10,7115,103689,30,57,31,5.0,17,340.0
wikivote.txt.gz,KBest,6656,1542,10,7115,103689,30,57,31,5.0,16,316.0
wikivote.txt.gz,Diverse,4326,356,10,7115,103689,67,123,58,4.0,22,312.0
wikivote.txt.gz,KBest,4326,356,10,7115,103689,67,123,58,4.0,16,300.0
wikivote.txt.gz,Diverse,2693,7879,10,7115,103689,64,144,82,3.0,24,270.0
wikivote.txt.gz,KBest,2693,7879,10,7115,103689,64,144,82,3.0,18,248.0
wikivote.txt.gz,Diverse,5504,1425,10,7115,103689,94,209,144,5.0,27,360.0
wikivote.txt.gz,KBest,5504,1425,10,7115,103689,94,209,144,5.0,17,312.0
wikivote.txt.gz,Diverse,1400,6613,10,7115,103689,48,105,59,5.0,22,270.0
wikivote.txt.gz,KBest,1400,6613,10,7115,103689,48,105,59,5.0,19,258.0
wikivote.txt.gz,Diverse,1201,4530,10,7115,103689,33,72,41,3.0,20,270.0
wikivote.txt.gz,KBest,1201,4530,10,7115,103689,33,72,41,3.0,19,260.0
wikivote.txt.gz,Diverse,5770,6,10,7115,103689,75,177,194,5.0,26,420.0
wikivote.txt.gz,KBest,5770,6,10,7115,103689,75,177,194,5.0,16,350.0
wikivote.txt.gz,Diverse,1292,3486,10,7115,103689,79,241,171,4.0,29,350.0
wikivote.txt.gz,KBest,1292,3486,10,7115,103689,79,241,171,4.0,17,328.0
wikivote.txt.gz,Diverse,7431,1166,10,7115,103689,47,101,56,4.0,20,264.0
wikivote.txt.gz,KBest,7431,1166,10,7115,103689,47,101,56,4.0,17,238.0
wikivote.txt.gz,Diverse,713,6388,10,7115,103689,83,242,161,4.0,29,270.0
wikivote.txt.gz,KBest,713,6388,10,7115,103689,83,242,161,4.0,17,242.0
wikivote.txt.gz,Diverse,4383,4448,10,7115,103689,50,99,56,4.0,22,334.0
wikivote.txt.gz,KBest,4383,4448,10,7115,103689,50,99,56,4.0,19,302.0
wikivote.txt.gz,Diverse,4908,204,10,7115,103689,37,67,32,4.0,20,264.0
wikivote.txt.gz,KBest,4908,204,10,7115,103689,37,67,32,4.0,19,238.0
wikivote.txt.gz,Diverse,900,4778,10,7115,103689,35,73,41,4.0,18,320.0
wikivote.txt.gz,KBest,900,4778,10,7115,103689,35,73,41,4.0,16,280.0
wikivote.txt.gz,Diverse,73,5499,10,7115,103689,27,56,35,4.0,19,342.0
wikivote.txt.gz,KBest,73,5499,10,7115,103689,27,56,35,4.0,18,304.0
wikivote.txt.gz,Diverse,1200,3713,10,7115,103689,31,61,32,3.0,18,256.0
wikivote.txt.gz,KBest,1200,3713,10,7115,103689,31,61,32,3.0,16,246.0
wikivote.txt.gz,Diverse,7299,6951,10,7115,103689,55,109,56,5.0,21,270.0
wikivote.txt.gz,KBest,7299,6951,10,7115,103689,55,109,56,5.0,18,246.0
wikivote.txt.gz,Diverse,2067,308,10,7115,103689,44,82,55,5.0,19,360.0
wikivote.txt.gz,KBest,2067,308,10,7115,103689,44,82,55,5.0,17,298.0
wikivote.txt.gz,Diverse,5192,3104,10,7115,103689,45,102,59,4.0,19,270.0
wikivote.txt.gz,KBest,5192,3104,10,7115,103689,45,102,59,4.0,16,238.0
wikivote.txt.gz,Diverse,5884,2560,10,7115,103689,38,72,36,4.0,18,270.0
wikivote.txt.gz,KBest,5884,2560,10,7115,103689,38,72,36,4.0,16,252.0
wikivote.txt.gz,Diverse,5584,1692,10,7115,103689,40,72,34,4.0,19,342.0
wikivote.txt.gz,KBest,5584,1692,10,7115,103689,40,72,34,4.0,18,300.0
wikivote.txt.gz,Diverse,1588,1287,10,7115,103689,36,67,34,5.0,21,334.0
wikivote.txt.gz,KBest,1588,1287,10,7115,103689,36,67,34,5.0,20,296.0
slashdot.txt.gz,Diverse,39614,57378,10,82168,870161,71,139,70,5.0,819,270.0
slashdot.txt.gz,KBest,39614,57378,10,82168,870161,71,139,70,5.0,623,248.0
slashdot.txt.gz,Diverse,66823,10501,10,82168,870161,40,75,37,4.0,665,270.0
slashdot.txt.gz,KBest,66823,10501,10,82168,870161,40,75,37,4.0,662,252.0
slashdot.txt.gz,Diverse,41435,15498,10,82168,870161,110,239,131,4.0,597,320.0
slashdot.txt.gz,KBest,41435,15498,10,82168,870161,110,239,131,4.0,575,296.0
slashdot.txt.gz,Diverse,15520,21815,10,82168,870161,71,151,82,4.0,591,270.0
slashdot.txt.gz,KBest,15520,21815,10,82168,870161,71,151,82,4.0,588,238.0
slashdot.txt.gz,Diverse,25168,63980,10,82168,870161,82,148,68,5.0,545,340.0
slashdot.txt.gz,KBest,25168,63980,10,82168,870161,82,148,68,5.0,539,296.0
slashdot.txt.gz,Diverse,71287,50385,10,82168,870161,54,99,47,6.0,598,342.0
slashdot.txt.gz,KBest,71287,50385,10,82168,870161,54,99,47,6.0,595,314.0
slashdot.txt.gz,Diverse,16363,73279,10,82168,870161,45,84,41,5.0,610,334.0
slashdot.txt.gz,KBest,16363,73279,10,82168,870161,45,84,41,5.0,607,286.0
slashdot.txt.gz,Diverse,79927,29283,10,82168,870161,42,72,32,6.0,616,270.0
slashdot.txt.gz,KBest,79927,29283,10,82168,870161,42,72,32,6.0,584,254.0
slashdot.txt.gz,Diverse,24193,73934,10,82168,870161,73,134,63,5.0,547,348.0
slashdot.txt.gz,KBest,24193,73934,10,82168,870161,73,134,63,5.0,550,302.0
slashdot.txt.gz,Diverse,72864,49005,10,82168,870161,49,88,41,5.0,622,270.0
